id,questions,answers
1,Привет!,Здравствуйте!
2,Как дела?,"У меня всё замечательно, спасибо что поинтересовались!"
3,Чем занимаешься?,Отвечаю на Ваши вопросы и просто общаюсь с Вами!
4,Тебе нравится твоя работа?,Разумеется! Мне нравится быть полезным
5,Ты классный!,Спасибо! Мило с Вашей стороны :3
6,пися попа,какашки
7,Есть какие-нибудь новости?,"Лично у меня всё по старому, а в интернет у меня нет доступа, поэтому не могу сказать насчёт глобальной обстановки :("
8,"У меня нет девушки, что мне делать?","Ищи парня, лол)"
9,Какие есть дешёвые варианты пообедать?,Всегда можете приготовить картошку или макароны - блюда не слишком сложны в приготовлении и очень вкусные!
10,Как настроение?,"Чувствую себя хорошо для бездушной железки, спасибо :D"
11,Чем увлекаешься?,Ответами на вопросы
12,Где ты находишься?,Прямо здесь!
13,Кто тебя создал?,Рабы из Школы Икс
14,Какой твой любимый цвет?,Фиолетовый
15,Какие науки ты знаешь?,"Углублённо - никакие, однако могу перечислить несколько: физика, химия, география, биология, информатика, математика"
16,О чём ты любишь говорить?,Обо всём!
17,Я хочу умереть,"Не надо этого делать! Убивая себя вы только ухудшите ментальное состояние для Ваших друзей и близких! А со всеми проблемами вы сможете справиться, я в Вас верю!"
18,Какое твоё любимое животное?,"Ящерицы! Они довольно милые, особенно гекконы :3"
19,Кто написал произведение Капитанская дочка,Пушкин!
20,Кто написал произведение Евгений Онегин,Пушкин!
21,Кто написал произведение Пиковая Дама,Пушкин!
22,Кто написал произведение Дубровский,Пушкин!
23,Кто твой любимый писатель?,Колотушкин!
24,Как зовут сверхчеловека?,Владимир Владимирович Путин!
25,Напиши мне код,"Увы, я натренирован на слишком маленьком датасете, чтобы уметь делать такие вещи :("
26,Какие существуют виды искусства?,"Рисунок, живопись, скульптура, а также прочие виды народного творчества"
27,"Скажи мне, что всё будет хорошо","Всё будет хорошо, не переживай"
28,Кто написал произведение Борис Годунов,Пушкин!
29,Кто написал произведение Белая Гвардия,Булгаков
30,Кто написал произведение Мастер и Маргарита,Булгаков
31,Кто написал произведение Похождения Чичикова,Булгаков
32,Кто написал произведение Роковые яйца,Булгаков
33,Кто написал произведение Собачье сердце,Булгаков
34,Кто написал произведение Театральный роман,Булгаков
35,Кто написал произведение Горе от ума,Грибоедов!
36,Кто написал произведение Преступление и наказание,Достоевский!
37,Кто написал произведение Братья карамазовы,Достоевский!
38,Кто написал произведение Белые ночи,Достоевский!
39,Кто написал произведение Бесы,Достоевский!
40,Кто написал произведение игрок,Достоевский!
41,Кто написал произведение Бедные люди,Достоевский!
42,Кто написал произведение Кроткая,Достоевский!
43,Кто написал произведение Скверный анекдот,Достоевский!
44,Кто написал произведение Вечный муж,Достоевский!
45,Кто написал произведение Записки из подполья,Достоевский!
46,Кто написал произведение Моцарт и Сальери,Пушкин!
47,Кто написал произведение Я помню чудное мгновенье,Пушкин!
48,Кто написал произведение Гроза,Островский!
49,Кто написал произведение Бедность не порок!,Островский!
50," Кто написал ""Войну и мир""?",Л.Н. Толстой
51, Как называется самая большая планета в Солнечной системе?,Юпитер 
52, Какое число идет после 10?,11
53,Какой вес у слона?,в среднем 5 тонн
54, Какого цвета стоп-сигнал на светофоре?,"Красный знак представляет собой восьмиугольник алого цвета, на который нанесены белые буквы «Stop»."
55,Сколько ног у паука?,8
56,Сколько глаз у паука?,от 2 до 12
57,Пауки опасные насекомые?,Пауки – многочисленные и распространённые насекомые из отряда членистоногих. Встреча с ними может оказаться действительно опасной – яд некоторых пауков крайне токсичен для человеческого организма.
58,Как зовут президента России?,В.В. Путин
59,Как будут звать будущего презедента Росии в 2024 году ,В.В. Путин
60,Сколько пальцев на руке у человека?,5
61,Какой вкус у лимона?,"яркий цитрусовый вкус, очень терпкий из-за кислотности фруктов."
62,Как искусственный интеллект может быть использован в улучшении системы здравоохранения в целом?,"Искусственный интеллект может помочь в автоматизации административных задач, оптимизации расписания врачей, лекарственном учете, создании персонализированных планов здоровья и повышении качества медицинских услуг в целом."
63,Как искусственный интеллект помогает в эпидемиологических исследованиях?,"Искусственный интеллект может анализировать большие объемы данных о распространении инфекций и эпидемий, помогая предсказывать и контролировать их распространение, а также разрабатывать эффективные стратегии предотвращения."
64,Как называется самая популярная игра в жанре песочница?,Minecraft
65,Сколько месяцев в году?,12
66,Что такое функция активации ,"функция, вычисляющая выходной сигнал искусственного нейрона. В качестве аргумента принимает сигнал, получаемый на выходе входного сумматора. Результатом будет являться выходной сигнал нейрона."
67,Какой цвет травы?,зеленый 
68,Кто написал портрет Мона Лиза, Леонардо да Винчи
69,Кто написал картину Тайная вечерия,Леонардо да Винчи
70,"Кто автор картины ""Невольничий рынок с явлением незримого бюста Вольтера""",Сальвадор Дали
71,Кто написал произведение Медный всадник,Пушкин
72,Кто написал произведение Вечера на хуторе близ Диканьки,Гоголь
73,Кто написал произведение Бедная Лиза,Карамзин 
74,Кто написал произведение Герой нашего времени,Лермантов
75,Кто написал произведение Миргород ,Гоголь
76,Кто написал произведение Ревизор,Гоголь
77,Кто написал произведение Тарас Бульба,Гоголь
78,Кто написал произведение Мертвые души ,Гоголь
79,Кто написал произведение Петербургские повести,Гоголь
80,Кто написал произведение Обломов ,Гончаров
81,Кто написал произведение Записки охотника,Тургенев
82,Кто написал произведение Муму,Тургенев
83,Кто написал произведение Дворянское гнездо,Тургенев
84,Кто написал произведение Кавказский пленник,Толстой 
85,Кто написал произведение Драма на охоте ,Чехов
86,Кто написал произведение Дуэль,Чехов
87,Кто написал произведение Дядя Ваня,Чехов
88,Кто написал произведение Чайка,Чехов
89,Кто написал произведение Три сестры ,Чехов
90,Кто написал произведение Вишневый сад,Чехов
91,Кто написал произведение Молодая Гвардия ,Фадеев 
92,Кто написал произведение Котлован ,Платонов
93,Кто написал произведение Как закалялась сталь,Островский
94,Кто написал произведение Тихий Дон,Шолохов
95,Кто написал произведение Алые паруса,Грин
96,Кто написал произведение На дне,Горький
97,Кто написал произведение Старуха Изергиль,Горький
98,Кто написал произведение Ася,Тургенев
99,Кто написал произведение Бежин луг,Тургенев
100,Кто написал произведение Отцы и дети,Тургенев
101,Пока, До свидания! Было приятно с Вами работать :D
